,0
0,7895.806641
1,7899.323242
2,7948.152344
3,7896.74707
4,7901.820801
5,7922.741699
6,7898.875488
7,7891.069336
8,8356.619141
9,7908.624512
10,7889.786621
11,7906.691895
12,7966.459961
13,7925.669922
14,7932.939941
15,7906.691895
16,7904.709961
17,7949.568848
18,7896.741211
19,7964.762695
20,7961.714355
21,7923.453125
22,7922.368164
23,7944.248047
24,8015.171387
25,7897.331055
26,7901.282227
27,7893.573242
28,7908.60791
29,7895.52002
30,7889.786621
31,7910.521973
32,7901.109375
33,7904.013184
34,8081.002441
35,7897.149414
36,7895.487305
37,7944.466797
38,7904.709961
39,7908.60791
40,8356.619141
41,7895.52002
42,8037.904785
43,7943.509766
44,7895.52832
45,7927.876953
46,8356.619141
47,7911.497559
48,8037.904785
49,7890.966309
50,7904.709961
51,7904.013184
52,7906.691895
53,7908.60791
54,7927.872559
55,7901.109375
56,7901.853516
57,7890.566406
58,7898.875488
59,7911.497559
60,7926.266113
61,7888.537109
62,7895.52002
63,7901.820801
64,7889.081543
65,7944.974121
66,7954.755859
67,7906.702148
68,7895.804688
69,7895.52002
70,7944.248047
71,7904.013184
72,7889.370117
73,7898.875488
74,7889.786621
75,7888.708008
76,7889.646484
77,7897.828125
78,7893.150391
79,7904.013184
80,7897.828125
81,7925.624512
82,7889.081543
83,7896.406738
84,7911.497559
85,7889.370117
86,7948.152344
87,8007.581543
88,7909.224609
89,7925.669922
90,7897.978516
91,7925.669922
92,8356.619141
93,7890.25293
94,8037.904785
95,7965.113281
96,7957.616211
97,7908.60791
98,7925.669922
99,7891.979004
100,7901.282227
101,8038.505371
102,7906.234375
103,7888.452148
104,7997.913086
105,7895.590332
106,7943.953125
107,7894.48877
108,7889.370117
109,7926.12793
110,7948.152344
111,7944.248047
112,7889.650391
113,7901.824707
114,7922.741699
115,8081.002441
116,7909.649414
117,7943.509766
118,7915.785156
119,8038.505371
120,7889.081543
121,7889.081543
122,8356.619141
123,7944.955566
124,8004.399414
125,7920.227539
126,7889.081543
127,7897.95166
128,8356.619141
129,7889.081543
130,7926.030762
131,8038.505371
132,7908.60791
133,7944.466797
134,7941.32959
135,7898.877441
136,7889.089355
137,7895.804688
138,8038.505371
139,7898.875488
140,7898.875488
141,7897.828125
142,7908.60791
143,8015.169434
144,7895.52002
145,7901.109375
146,7896.846191
147,7908.624512
148,8063.575684
149,7910.521973
150,7925.669922
151,7911.497559
152,7904.013184
153,8007.581543
154,7915.927246
155,7888.487305
156,7919.11377
157,8007.581543
158,7948.164551
159,8081.000488
160,7901.824707
161,7888.437988
162,7897.95166
163,7889.63623
164,7895.730469
165,7938.26709
166,8037.904785
167,7890.405273
168,7911.497559
169,7957.616211
170,7895.856445
171,7901.820801
172,7915.785156
173,7899.34375
174,7948.152344
175,7938.26709
176,7897.968262
177,7891.620117
178,7915.785156
179,8134.810059
180,7897.331055
181,7909.172852
182,7938.271484
183,7893.206055
184,7931.626465
185,7891.069336
186,7895.52002
187,7907.586914
188,7898.560059
189,8007.581543
190,7900.86377
191,7897.828125
192,7895.590332
193,7944.466797
194,7888.443848
195,7895.52002
196,7909.224609
197,7890.25293
198,7895.52002
199,7915.927246
200,7909.224609
201,8009.380371
202,8092.875977
203,7896.099609
204,8037.898926
205,7888.446289
206,7895.598633
207,7944.466797
208,7948.152344
209,7899.859375
210,7909.449219
211,7941.32959
212,7907.586914
213,7985.866699
214,7966.459961
215,7908.60791
216,7894.006348
217,7889.01123
218,8081.002441
219,7897.828125
220,7949.568848
221,7909.224609
222,7907.586914
223,7889.786621
224,7899.323242
225,7938.26709
226,7889.081543
227,7896.34082
228,7889.374023
229,8037.898926
230,7889.081543
231,7908.624512
232,7895.806641
233,7957.616211
234,7897.149414
235,7965.113281
236,7908.60791
237,8015.171387
238,7896.099609
239,7931.626465
240,7906.234375
241,7895.52002
242,7889.081543
243,7907.586914
244,7893.003906
245,7925.669922
246,7897.95166
247,7896.74707
248,8109.187012
249,7901.282227
250,7905.592773
251,7890.665039
252,7896.745117
253,8015.171387
254,7925.669922
255,7891.288086
256,8356.619141
257,7898.560059
258,7888.443848
259,7941.32959
260,7896.099609
261,7904.709961
262,7951.379883
263,7909.168945
264,7947.490234
265,7898.339355
266,7906.25293
267,7906.25293
268,7898.560059
269,7927.872559
270,7915.785156
271,7944.974121
272,7897.95166
273,7922.741699
274,7908.612305
275,7966.458008
276,7902.783691
277,7964.762695
278,8037.904785
279,7966.459961
280,7944.248047
281,7912.448242
282,7895.806641
283,7906.234375
284,7897.331055
285,7890.966309
286,8015.171387
287,7900.760742
288,7904.013184
289,7889.786621
290,7922.355957
291,8356.619141
292,7906.25293
293,7915.785156
294,8010.668945
295,7895.248047
296,7888.446289
297,7895.804688
298,7888.489258
299,7925.669922
300,7888.637695
301,7908.624512
302,7889.786621
303,7941.32959
304,7985.09375
305,7908.624512
306,7906.691895
307,8004.399414
308,7985.866699
309,7908.624512
310,7907.380859
311,8356.619141
312,7944.466797
313,7895.806641
314,7912.448242
315,7888.437988
316,7893.003906
317,7895.52002
318,7906.691895
319,7966.458008
320,7957.630859
321,8010.666992
322,7909.224609
323,7925.669922
324,7888.452148
325,7901.820801
326,7896.74707
327,7891.620117
328,7938.26709
329,7925.717285
330,7897.149414
331,7897.968262
332,7909.449219
333,7925.669922
334,7925.717285
335,7897.331055
336,7915.785156
337,7923.451172
338,8037.904785
339,7890.657227
340,7901.282227
341,7925.669922
342,7888.709961
343,7965.764648
344,7927.876953
345,7897.95166
346,7965.760742
347,7895.806641
348,7889.943359
349,7895.52002
350,8010.668945
351,7908.671875
352,8081.002441
353,7888.443848
354,7965.760742
355,8004.399414
356,7927.872559
357,7888.637695
358,7915.927246
359,7894.006348
360,8037.904785
361,8038.505371
362,7936.34082
363,7927.872559
364,7896.336914
365,7909.224609
366,7925.717285
367,7890.966309
368,7890.374512
369,7919.11377
370,7925.717285
371,7915.785156
372,7894.006348
373,7896.852539
374,7919.111816
