Corner1,Corner2,Corner3,Corner4,Corner5,Corner6,Corner7,Corner8,Corner9,Corner10,Corner11,Corner12,Corner13,Corner14
802.1820285,803.6645717,788.0145831,790.7910948,779.2865509,850.7328745,892.7494096,826.1460413,826.3866763,829.3419752,845.2883557,894.5251375,897.1658386,899.6719426
1001.215547,1003.065931,983.5329434,986.9983497,972.6393541,1061.812593,1114.254068,1031.125394,1031.425734,1035.114288,1055.017207,1116.47038,1119.76628,1122.894186
991.8276707,993.6607052,974.3108679,977.7437809,963.5194221,1051.85653,1103.806288,1021.457069,1021.754593,1025.408561,1045.124861,1106.00182,1109.266815,1112.365393
1286.082253,1288.45911,1263.36858,1267.819967,1249.375537,1363.920423,1431.282591,1324.502076,1324.887869,1329.625893,1355.191607,1434.129491,1438.363142,1442.381003
1008.835935,1010.700404,991.0187473,994.5105293,980.0422454,1069.894194,1122.734808,1038.973431,1039.276057,1042.992684,1063.047087,1124.967989,1128.288974,1131.440687
962.6576487,964.436773,945.6560216,948.9879713,935.1819563,1020.921037,1071.342933,991.4156355,991.7044093,995.2509124,1014.387348,1073.473894,1076.642864,1079.650311
1234.574467,1236.856131,1212.77048,1217.043588,1199.337861,1309.295207,1373.959509,1271.45557,1271.825912,1276.374177,1300.915981,1376.692391,1380.756483,1384.613428
1134.656291,1136.753292,1114.616973,1118.544244,1102.271499,1203.329635,1262.760443,1168.552485,1168.892854,1173.073013,1195.628568,1265.272143,1269.007316,1272.552106
1243.242376,1245.54006,1221.285304,1225.588414,1207.758375,1318.487728,1383.606037,1280.382421,1280.755363,1285.335562,1310.049673,1386.358106,1390.450733,1394.334757
1005.726065,1007.584786,987.9638007,991.4448187,977.0211353,1066.596104,1119.273829,1035.770657,1036.072351,1039.777521,1059.770104,1121.500126,1124.810874,1127.952871
1125.903145,1127.98397,1106.018417,1109.915392,1093.768182,1194.046719,1253.019056,1159.537852,1159.875595,1164.023507,1186.405061,1255.51138,1259.217738,1262.735182
1184.202376,1186.390945,1163.288017,1167.386777,1150.403465,1255.874422,1317.900345,1219.578687,1219.933918,1224.296609,1247.837079,1320.521721,1324.419994,1328.119571
833.1123759,834.6520827,818.3986655,821.2822332,809.3340998,883.5352341,927.1718329,858.0003875,858.2503009,861.3195495,877.8807868,929.0160289,931.7585496,934.3612834
1140.124341,1142.231448,1119.988451,1123.934648,1107.583483,1209.128631,1268.845843,1174.183885,1174.525895,1178.726198,1201.390452,1271.369648,1275.12282,1278.684693
945.3108872,947.0579523,928.6156237,931.8875328,918.3302974,1002.524389,1052.0377,973.550665,973.8342351,977.3168315,996.1084355,1054.130261,1057.242128,1060.195382
996.0585441,997.8993979,978.4670193,981.9145762,967.62954,1056.343471,1108.514833,1025.814334,1026.113127,1029.782682,1049.583086,1110.71973,1113.998653,1117.110448
1065.396581,1067.365582,1046.580468,1050.268018,1034.988566,1129.878088,1185.681224,1097.223743,1097.543336,1101.468337,1122.647096,1188.039609,1191.546786,1194.8752
1101.092649,1103.12762,1081.646102,1085.457203,1069.665814,1167.734605,1225.407422,1133.986178,1134.316479,1138.372987,1160.261339,1227.844825,1231.46951,1234.909443
1020.203711,1022.089188,1002.185755,1005.716883,991.0855677,1081.949987,1135.38602,1050.680802,1050.986838,1054.745346,1075.025726,1137.644365,1141.002772,1144.189999
972.2699863,974.0668755,955.0985944,958.4638144,944.5199433,1031.115147,1082.040516,1001.315128,1001.606785,1005.188701,1024.516218,1084.192755,1087.393368,1090.430845
953.4127667,955.1748052,936.5744148,939.8743661,926.2009371,1011.116623,1061.054292,981.8945762,982.1805768,985.6930211,1004.64568,1063.164788,1066.303325,1069.28189
1134.921418,1137.018909,1114.877417,1118.805606,1102.529059,1203.610809,1263.055503,1168.825532,1169.165981,1173.347117,1195.907942,1265.56779,1269.303836,1272.849454
909.1398378,910.8200538,893.083396,896.2301099,883.1916239,964.1641423,1011.782893,936.2990584,936.5717781,939.9211176,957.9936862,1013.795385,1016.78818,1019.628432
1277.8257,1280.187298,1255.257847,1259.680656,1241.354639,1355.164155,1422.093862,1315.99887,1316.382187,1321.089793,1346.491377,1424.922485,1429.128957,1433.121023
838.9438458,840.4943299,824.1271449,827.0308966,814.9991308,889.7196448,933.6616832,864.006064,864.2577267,867.3484589,884.0256185,935.5187879,938.2805052,940.9014571
1057.796031,1059.750985,1039.114152,1042.775395,1027.604947,1121.817526,1177.222562,1089.396138,1089.713451,1093.610451,1114.63812,1179.564122,1183.046279,1186.350948
1158.872373,1161.014129,1138.405371,1142.416459,1125.796418,1229.011359,1289.710552,1193.491987,1193.83962,1198.108993,1221.145934,1292.275857,1296.090746,1299.71119
1106.524912,1108.569923,1086.982426,1090.812329,1074.943032,1173.495648,1231.452995,1139.580723,1139.912653,1143.989174,1165.985512,1233.902423,1237.54499,1241.001894
916.579729,918.273695,900.3918903,903.5643552,890.4191695,972.0543217,1020.062757,943.9612055,944.236157,947.6129057,965.83337,1022.091719,1025.109005,1027.9725
837.5974312,839.1454269,822.8045095,825.703601,813.6911448,888.2917405,932.1632567,862.6194272,862.870686,865.9564579,882.6068525,934.0173809,936.7746659,939.3914115
950.9021813,952.6595799,934.1081691,937.3994309,923.7620075,1008.454088,1058.260259,979.3089907,979.5942382,983.0974333,1002.000185,1060.365197,1063.495469,1066.466191
1147.349175,1149.469635,1127.085686,1131.05689,1114.602109,1216.790737,1276.88637,1181.62455,1181.968727,1186.195648,1209.003522,1279.426167,1283.203124,1286.787567
1075.310763,1077.298085,1056.319554,1060.041418,1044.619781,1140.392309,1196.714728,1107.434096,1107.756663,1111.718189,1133.094029,1199.09506,1202.634873,1205.994261
781.289576,782.7335071,767.4911151,770.1953138,758.9904003,828.5759381,869.4981724,804.6294574,804.8638252,807.7421547,823.2732192,871.2276523,873.7995776,876.2404113
876.7411112,878.3614499,861.2568677,864.2914432,851.7176055,929.8045321,975.7263084,902.9324673,903.1954682,906.4254484,923.8539706,977.6670819,980.553224,983.2922586
922.764734,924.4701307,906.4676611,909.6615335,896.4276452,978.6136646,1026.946057,950.3309784,950.6077853,954.00732,972.3507345,1028.98871,1032.026357,1034.909174
1216.412208,1218.660306,1194.928987,1199.139232,1181.69398,1290.033705,1353.746708,1252.75074,1253.115634,1257.596988,1281.777749,1356.439385,1360.44369,1364.243894
928.6124149,930.3286189,912.2120653,915.4261777,902.1084245,984.8152675,1033.453949,956.3533502,956.6319113,960.0529892,978.5126484,1035.509546,1038.566443,1041.467529
1127.781741,1129.866037,1107.863835,1111.767312,1095.593159,1196.039014,1255.109748,1161.472568,1161.810875,1165.965708,1188.384605,1257.60623,1261.318772,1264.842085
1225.074276,1227.338383,1203.438074,1207.6783,1190.10882,1299.220032,1363.386735,1261.671575,1262.039068,1266.552333,1290.905285,1366.098587,1370.131406,1373.958671
1133.403318,1135.498004,1113.386128,1117.309063,1101.054288,1202.000828,1261.366008,1167.262081,1167.602075,1171.777618,1194.308265,1263.874934,1267.605982,1271.146858
1255.745967,1258.066759,1233.568067,1237.914454,1219.905094,1331.748079,1397.521299,1293.259537,1293.636231,1298.262493,1323.22516,1400.301046,1404.434833,1408.35792
903.5125156,905.1823315,887.5554587,890.6826954,877.7249139,958.196235,1005.520239,930.5036282,930.7746599,934.1032679,952.0639724,1007.520274,1010.494545,1013.317216
843.6658226,845.2250336,828.7657263,831.6858216,819.5863353,894.7274121,938.9167773,868.869103,869.1221821,872.2303104,889.0013371,940.7843346,943.5615962,946.1973001
1019.816263,1021.701024,1001.80515,1005.334937,990.709178,1081.53909,1134.954829,1050.28178,1050.5877,1054.344779,1074.617458,1137.212316,1140.569447,1143.755464
1204.173534,1206.399013,1182.906462,1187.074346,1169.804616,1277.054303,1340.126272,1240.146454,1240.507676,1244.943942,1268.881413,1342.791857,1346.755873,1350.517842
911.3077795,912.9920021,895.2130494,898.367267,885.2976893,966.4632954,1014.195598,938.5317642,938.8051342,942.1624606,960.2781252,1016.212889,1019.212821,1022.059846
766.0934924,767.509339,752.5634115,755.2150135,744.2280356,812.4601346,852.5864314,788.979413,789.2092223,792.0315684,807.2605536,854.2822728,856.8041742,859.1975337
998.1849916,1000.029775,980.5559113,984.0108282,969.6952955,1058.598618,1110.881359,1028.004306,1028.303737,1031.981125,1051.823801,1113.090963,1116.376886,1119.495325
1089.898132,1091.912414,1070.649293,1074.421648,1058.790805,1155.862557,1212.94903,1122.457241,1122.784184,1126.799451,1148.465269,1215.361653,1218.949486,1222.354446
