,Corner1,Corner2,Corner3,Corner4,Corner5,Corner6,Corner7,Corner8,Corner9,Corner10,Corner11,Corner12,Corner13,Corner14,Corner15,Corner16,Corner17,Corner18
0,802.1820285456758,803.6645717435431,788.0145831182754,790.7910947881851,779.2865508845562,850.7328745242681,892.7494096161175,826.1460413143168,826.38667632201,829.341975245866,845.2883556695313,894.5251374586624,897.1658386402802,899.6719426195712,895.556589735938,846.008455556958,833.8975498349067,801.4289097727908
1,1001.2155467060666,1003.0659313389148,983.5329433638557,986.9983496564453,972.6393540616942,1061.8125933484926,1114.2540675472446,1031.1253942115318,1031.4257344114,1035.1142877851184,1055.0172068555046,1116.4703803782586,1119.7662795422352,1122.8941858981993,1117.7577515969408,1055.9159744379447,1040.8001694683517,1000.2755677522924
2,991.827670690954,993.6607052321357,974.3108678982326,977.7437808833381,963.5194221015976,1051.8565304303374,1103.806288275456,1021.4570691553154,1021.7545932217665,1025.4085609541994,1045.12486073248,1106.0018198969324,1109.266815133367,1112.3653927427356,1107.2771201071027,1046.0152010400361,1031.0411290902607,990.8965054296001
3,1286.0822528182425,1288.459110473942,1263.3685800063697,1267.8199666696778,1249.3755373322995,1363.9204231467168,1431.2825905646391,1324.50207579026,1324.8878690414028,1329.6258927847603,1355.1916074602,1434.129490623311,1438.3631418443833,1442.3810027996167,1435.7831458053374,1356.3460931660875,1336.9295264014058,1284.8748302463011
4,1008.8359353449654,1010.7004035086578,991.0187472871472,994.5105292616047,980.0422453849685,1069.8941944079374,1122.7348078484904,1038.9734307958424,1039.2760569261022,1042.9926843846822,1063.0470872977476,1124.9679893399775,1128.2889740438527,1131.440687323448,1126.2651589173058,1063.9526955233407,1048.7218420920678,1007.8888020826473
5,962.6576486959642,964.436773007109,945.6560216115283,948.9879713444063,935.1819562636829,1020.9210372646228,1071.342933341254,991.4156354923068,991.7044092649128,995.2509124424905,1014.3873484851771,1073.4738935582602,1076.6428640661304,1079.6503113514627,1074.7116867132431,1015.251503551968,1000.7178246473122,961.7538693525042
6,1234.5744667656145,1236.85613091768,1212.7704799377445,1217.0435879012348,1199.337860709921,1309.2952067623805,1373.9595093277244,1271.4555700970445,1271.8259122709355,1276.3741774566656,1300.9159814460668,1376.6923906144134,1380.756483472606,1384.6134284972932,1378.2798166597465,1302.0242298272346,1283.3852994575814,1233.415401647774
7,1134.656290934678,1136.753292495648,1114.6169725398026,1118.544243808679,1102.2714994064486,1203.329635461834,1262.7604431448187,1168.5524851604118,1168.8928543229983,1173.0730134342975,1195.6285684348907,1265.2721433522943,1269.0073157964257,1272.5521055631505,1266.7310937819511,1196.6471226262024,1179.5167022509725,1133.591032772482
8,1243.2423764063328,1245.540060052753,1221.2853044526005,1225.5884137766482,1207.758375215264,1318.4877284374595,1383.606037096972,1280.3824208383062,1280.7553631732937,1285.3355615900382,1310.04967283601,1386.3581058597422,1390.4507325898194,1394.3347571077757,1387.9566771748773,1311.1657021952283,1292.3959084644796,1242.0751735276851
9,1005.7260648654792,1007.5847855589448,987.9638006512981,991.4448187450267,977.0211352710332,1066.596103752369,1119.2738289986185,1035.7706574922747,1036.0723507373789,1039.7775211992243,1059.7701037573459,1121.5001264121772,1124.8108737405473,1127.9528714462372,1122.7932972923597,1060.6729203255563,1045.4890180186478,1004.781851266973
