row,col,value
0,0,802.1820285
1,0,1001.215547
2,0,991.8276707
3,0,1286.082253
4,0,1008.835935
5,0,962.6576487
6,0,1234.574467
7,0,1134.656291
8,0,1243.242376
9,0,1005.726065
10,0,1125.903145
11,0,1184.202376
12,0,833.1123759
13,0,1140.124341
14,0,945.3108872
15,0,996.0585441
16,0,1065.396581
17,0,1101.092649
18,0,1020.203711
19,0,972.2699863
20,0,953.4127667
21,0,1134.921418
22,0,909.1398378
23,0,1277.8257
24,0,838.9438458
25,0,1057.796031
26,0,1158.872373
27,0,1106.524912
28,0,916.579729
29,0,837.5974312
30,0,950.9021813
31,0,1147.349175
32,0,1075.310763
33,0,781.289576
34,0,876.7411112
35,0,922.764734
36,0,1216.412208
37,0,928.6124149
38,0,1127.781741
39,0,1225.074276
40,0,1133.403318
41,0,1255.745967
42,0,903.5125156
43,0,843.6658226
44,0,1019.816263
45,0,1204.173534
46,0,911.3077795
47,0,766.0934924
48,0,998.1849916
49,0,1089.898132
50,0,1281.332673
51,0,1212.466202
52,0,887.8901822
53,0,1011.587988
54,0,819.6159603
55,0,1150.940489
56,0,896.7796054
57,0,896.8636613
58,0,891.7910107
59,0,1196.625507
60,0,1054.910882
61,0,950.070298
62,0,820.2319676
63,0,1281.515389
64,0,1047.806979
65,0,1076.319632
66,0,852.8840448
67,0,981.8035809
68,0,1200.096758
69,0,761.7519961
70,0,1244.401453
71,0,821.9344404
72,0,1181.314084
73,0,939.614287
74,0,840.4239451
75,0,1225.568539
76,0,804.3017573
77,0,853.1187272
78,0,993.2016103
79,0,994.4879141
80,0,909.5687193
81,0,888.2169335
82,0,1089.733724
83,0,861.9141187
84,0,868.4716819
85,0,1118.552142
86,0,993.0842836
87,0,908.2852472
88,0,1089.513296
89,0,1044.949927
90,0,1197.881641
91,0,1177.045316
92,0,851.4977429
93,0,923.7849229
94,0,1000.86757
95,0,832.2351964
96,0,958.5516856
97,0,883.3412008
98,0,1134.507626
99,0,1019.32809
100,0,849.2064298
101,0,901.1737419
