,row,col,value
0,0.0,0.0,802.1820285456758
1,1.0,0.0,1001.2155467060666
2,2.0,0.0,991.827670690954
3,3.0,0.0,1286.0822528182423
4,4.0,0.0,1008.8359353449654
5,5.0,0.0,962.6576486959642
6,6.0,0.0,1234.5744667656145
7,7.0,0.0,1134.656290934678
8,8.0,0.0,1243.2423764063328
9,9.0,0.0,1005.7260648654792
10,10.0,0.0,1125.9031451843075
11,11.0,0.0,1184.202375701454
12,12.0,0.0,833.112375937643
13,13.0,0.0,1140.124341018995
14,14.0,0.0,945.3108872465708
15,15.0,0.0,996.0585440914444
16,16.0,0.0,1065.396581474304
17,17.0,0.0,1101.0926485083835
18,18.0,0.0,1020.2037110462776
19,19.0,0.0,972.2699863046412
20,20.0,0.0,953.4127667431628
21,21.0,0.0,1134.9214178259294
22,22.0,0.0,909.139837767192
23,23.0,0.0,1277.8256997959527
24,24.0,0.0,838.9438458062981
25,25.0,0.0,1057.7960313466297
26,26.0,0.0,1158.8723726896949
27,27.0,0.0,1106.5249120030635
28,28.0,0.0,916.5797290420336
29,29.0,0.0,837.5974311906893
30,30.0,0.0,950.9021813159786
31,31.0,0.0,1147.3491748596198
32,32.0,0.0,1075.3107626101637
33,33.0,0.0,781.2895760455008
34,34.0,0.0,876.7411111871786
35,35.0,0.0,922.7647339947322
36,36.0,0.0,1216.412208031878
37,37.0,0.0,928.6124149037764
38,38.0,0.0,1127.7817410061623
39,39.0,0.0,1225.0742762900918
40,40.0,0.0,1133.4033178490524
41,41.0,0.0,1255.7459665513193
42,42.0,0.0,903.5125156084654
43,43.0,0.0,843.665822638095
44,44.0,0.0,1019.8162629360086
45,45.0,0.0,1204.173533664646
46,46.0,0.0,911.3077794848824
47,47.0,0.0,766.0934923654793
48,48.0,0.0,998.1849915873272
49,49.0,0.0,1089.8981316461486
50,50.0,0.0,1281.3326729625428
51,51.0,0.0,1212.4662017702465
52,52.0,0.0,887.8901822300888
53,53.0,0.0,1011.5879876428152
54,54.0,0.0,819.6159603225199
55,55.0,0.0,1150.940488762339
56,56.0,0.0,896.7796054055204
57,57.0,0.0,896.8636612847847
58,58.0,0.0,891.7910106626529
59,59.0,0.0,1196.6255067833094
60,60.0,0.0,1054.910881961507
61,61.0,0.0,950.0702979716468
62,62.0,0.0,820.2319676109473
63,63.0,0.0,1281.5153886821267
64,64.0,0.0,1047.806978912035
65,65.0,0.0,1076.3196321794592
66,66.0,0.0,852.8840447764675
67,67.0,0.0,981.803580940779
68,68.0,0.0,1200.0967580901183
69,69.0,0.0,761.7519961018986
70,70.0,0.0,1244.401453472139
71,71.0,0.0,821.9344403842094
72,72.0,0.0,1181.314084230125
73,73.0,0.0,939.6142870192364
74,74.0,0.0,840.4239450537549
75,75.0,0.0,1225.568538632846
76,76.0,0.0,804.3017573185492
77,77.0,0.0,853.1187271985997
78,78.0,0.0,993.2016102906198
79,79.0,0.0,994.4879141382258
80,80.0,0.0,909.5687193429004
81,81.0,0.0,888.2169334737273
82,82.0,0.0,1089.7337238175216
83,83.0,0.0,861.9141186639365
84,84.0,0.0,868.4716818835265
85,85.0,0.0,1118.5521420140662
86,86.0,0.0,993.0842835687656
87,87.0,0.0,908.2852471969708
88,88.0,0.0,1089.5132957162452
89,89.0,0.0,1044.9499273232195
90,90.0,0.0,1197.881640676666
91,91.0,0.0,1177.045316370787
92,92.0,0.0,851.4977429142958
93,93.0,0.0,923.7849229083164
94,94.0,0.0,1000.8675695236536
95,95.0,0.0,832.2351963940467
96,96.0,0.0,958.55168559207
97,97.0,0.0,883.3412008401394
98,98.0,0.0,1134.507625612389
99,99.0,0.0,1019.328089912516
100,100.0,0.0,849.2064298143245
101,101.0,0.0,901.1737418512968
102,102.0,0.0,1149.0080505205835
103,103.0,0.0,1058.1542165090086
104,104.0,0.0,818.9243248496407
105,105.0,0.0,803.8513378731463
106,106.0,0.0,790.6178102998631
107,107.0,0.0,1028.4455660979297
108,108.0,0.0,1230.3874856161406
109,109.0,0.0,856.0640782789649
110,110.0,0.0,787.0583633748234
