0,1,2,3,4
0.0,2508.212890625,2835.992919921875,1753.8050537109375,2875.153564453125
1.0,2509.0849609375,2836.34228515625,1830.90478515625,2734.403076171875
2.0,2510.58251953125,2838.632568359375,1795.1212158203125,2764.895263671875
3.0,2510.212646484375,2834.954345703125,1813.3880615234375,2755.1728515625
4.0,2503.13037109375,2833.091064453125,1747.0064697265625,2796.02099609375
5.0,2506.63623046875,2892.087646484375,1847.3431396484375,2747.092529296875
6.0,2510.511962890625,2834.022705078125,1907.6669921875,2756.00830078125
7.0,2512.78466796875,2906.111328125,1750.38232421875,2787.98388671875
8.0,2810.498779296875,2832.790283203125,1765.301513671875,2756.109130859375
9.0,2505.5263671875,2838.29296875,1847.2586669921875,2864.35107421875
10.0,2510.503173828125,2839.641845703125,1840.8446044921875,2751.154296875
11.0,2510.740966796875,2833.50830078125,1752.604736328125,2852.208984375
12.0,2501.35107421875,2835.22607421875,1745.7218017578125,2762.388916015625
13.0,2512.238525390625,2832.6640625,1787.2630615234375,2733.43798828125
14.0,2521.223388671875,2835.48828125,1747.587890625,2758.29833984375
15.0,2503.755859375,2831.72265625,1747.0064697265625,3185.80712890625
16.0,2505.0947265625,2832.42138671875,1927.0216064453125,2744.283935546875
17.0,2504.768798828125,2833.1103515625,1750.38232421875,3092.847412109375
18.0,2504.733642578125,2836.507080078125,1870.2236328125,2983.9716796875
19.0,2501.421630859375,2836.759521484375,1768.649169921875,2794.263916015625
20.0,2504.169921875,2835.46875,1773.2159423828125,2849.14111328125
21.0,2510.001220703125,2832.790283203125,1748.2724609375,2764.895263671875
22.0,2517.57666015625,2838.244384765625,1811.9345703125,2838.439208984375
23.0,2509.375732421875,2833.7509765625,1981.36279296875,2771.21826171875
24.0,2501.35107421875,2839.321533203125,1782.23681640625,2888.246337890625
25.0,2507.587646484375,2832.635009765625,1797.4185791015625,2764.895263671875
26.0,2506.556884765625,2834.973876953125,1745.7218017578125,2764.261474609375
27.0,2513.0576171875,2994.49462890625,1747.0064697265625,2727.99365234375
28.0,2504.22265625,2834.022705078125,1762.7509765625,3047.96630859375
29.0,2511.287109375,2836.2548828125,1797.156005859375,4028.25048828125
30.0,2510.740966796875,2835.022216796875,1810.3779296875,5087.37890625
31.0,2506.61865234375,2832.72216796875,1762.9102783203125,2752.3642578125
32.0,2516.986328125,2834.245849609375,1797.156005859375,2933.113037109375
33.0,2510.13330078125,2937.060546875,1774.735107421875,2882.60009765625
34.0,2508.212890625,2833.50830078125,1773.319091796875,2799.86669921875
35.0,2509.384521484375,2832.790283203125,1871.3863525390625,2810.55419921875
36.0,2508.662109375,2836.070556640625,1760.3878173828125,2751.01025390625
37.0,2509.22607421875,2835.992919921875,1788.3226318359375,2786.889404296875
38.0,2510.740966796875,2836.206298828125,1761.081787109375,2810.55419921875
39.0,2506.266357421875,2833.323974609375,1788.5196533203125,3010.085205078125
40.0,2510.001220703125,2834.245849609375,1748.3944091796875,2733.43798828125
41.0,2509.9482421875,2835.2939453125,1811.5032958984375,2782.07861328125
42.0,2513.18115234375,2831.596435546875,1755.624267578125,2722.721923828125
43.0,2506.046142578125,2832.460205078125,1762.7509765625,2739.833251953125
44.0,2503.843994140625,2833.712158203125,1778.2984619140625,2771.10302734375
45.0,2510.212646484375,2938.39990234375,3324.53173828125,2727.99365234375
